title,edits,size,users
50_Cent,13066,518204129,4557
Adele,6725,456912673,2672
Angelina_Jolie,7336,531496219,2902
Backstreet_Boys,10270,412497115,4050
Ben_Affleck,9263,906521569,3655
Beyonce,20811,1664650611,6193
Bon_Jovi,8163,340280376,3611
Brad_Pitt,9281,440814602,3860
Britney_Spears,24640,1672042122,6896
Bruce_Springsteen,8601,725568158,4113
Bruce_Willis,7114,335309063,3711
Celine_Dion,8701,656289719,2992
Cher,12743,1357996811,4262
Coldplay,11398,474073802,4872
Cristiano_Ronaldo,16652,2351953387,4062
Dan_Brown,3382,69974678,1751
David_Beckham,10970,762301728,4299
Dr._Dre,7256,366775596,3321
Drake_(musician),7635,470016410,2215
Dwayne_Johnson,16097,1099137337,6727
Ed_Sheeran,3113,126437836,1032
Ellen_DeGeneres,4434,123920018,2291
Elton_John,6624,438271406,2957
Eminem,19899,1349990098,7247
Floyd_Mayweather_Jr.,7969,568141229,3126
Garth_Brooks,4160,204860847,2139
George_Clooney,7775,287600801,4117
George_Lucas,5192,137053332,2812
Harrison_Ford,5052,181233770,2601
Howard_Stern,8571,388249715,3608
J._K._Rowling,7959,447984051,3179
James_Cameron,5895,363803655,2893
James_Patterson,2543,42491856,1383
Jay-Z,8612,422507018,3659
Jennifer_Aniston,8824,304637848,3910
Jennifer_Lopez,13146,895809462,4686
Jerry_Seinfeld,5754,175813454,3238
Johnny_Depp,10001,351525245,4279
Judy_Sheindlin,2762,71940617,1168
Julia_Roberts,4921,158078845,2666
Justin_Bieber,8593,519671393,2891
Katy_Perry,9913,668241647,2521
Kevin_Hart,3678,65726980,1907
Kim_Kardashian,5945,166621559,2406
Kobe_Bryant,12553,759062922,3796
Kylie_Jenner,3056,54890480,1247
Lady_Gaga,14208,1336531888,3301
LeBron_James,14642,959357551,4820
Leonardo_DiCaprio,7654,310171396,3721
Lionel_Messi,16272,1977764924,4363
Madonna_(entertainer),17681,1688986968,4815
Manny_Pacquiao,8917,792271543,2833
Mariah_Carey,18571,1507159118,5079
Mel_Gibson,8668,499732085,3496
Michael_Jordan,12040,806496901,4257
NSYNC,6130,140421098,3246
One_Direction,5549,377044854,1255
Oprah_Winfrey,7931,506516221,3524
Paul_McCartney,17981,2059061790,4754
Paula_Deen,2563,45545123,1362
Phil_McGraw,2638,59374514,1438
Rihanna,15247,1020741998,3766
Robert_Downey_Jr.,5317,316969724,2666
Robin_Williams,8431,485636162,3486
Roger_Federer,24641,2545161596,8019
Rush_Limbaugh,8685,459953304,3119
Sandra_Bullock,5340,184830166,2676
Sean_Combs,10231,401228454,5081
Shaquille_O'Neal,9229,536074385,4298
Simon_Cowell,4710,115832240,2429
Spice_Girls,13214,810686107,5548
Steven_Spielberg,8998,710183475,4408
Taylor_Swift,11004,1446422153,2432
The_Beatles,23342,2055056731,6971
The_Police,4429,161046478,2049
The_Rolling_Stones,13963,1257215415,5494
The_Sopranos,7636,620578602,2998
The_Weeknd,7432,302984214,3400
Tiger_Woods,9026,795662553,3117
Tom_Cruise,7769,317297362,3604
Tom_Hanks,7846,304566393,3935
U2,14360,1040351902,5305
